"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2022","1,216.93","1,214.91","1,232.61","1,205.30","577.18K","0.03%"
"07/08/2022","1,216.52","1,239.60","1,275.99","1,194.15","1.19M","-1.75%"
"07/07/2022","1,238.19","1,186.57","1,252.76","1,163.93","1.00M","4.36%"
"07/06/2022","1,186.48","1,133.22","1,201.78","1,112.09","1.21M","4.63%"
"07/05/2022","1,134.03","1,149.84","1,170.80","1,079.38","1.40M","-1.50%"
"07/04/2022","1,151.27","1,073.62","1,159.96","1,046.02","1.15M","7.19%"
"07/03/2022","1,074.06","1,067.52","1,086.86","1,041.71","644.78K","0.70%"
"07/02/2022","1,066.62","1,059.82","1,077.50","1,029.11","714.86K","0.73%"
"07/01/2022","1,058.91","1,071.20","1,109.73","1,035.88","1.56M","-0.91%"
"06/30/2022","1,068.66","1,100.01","1,106.00","1,000.89","1.42M","-2.81%"
"06/29/2022","1,099.54","1,143.78","1,155.04","1,088.01","1.30M","-3.89%"
"06/28/2022","1,144.02","1,191.91","1,234.79","1,137.70","1.10M","-3.93%"
"06/27/2022","1,190.87","1,197.74","1,237.01","1,176.92","868.59K","-0.58%"
"06/26/2022","1,197.82","1,242.64","1,276.78","1,196.04","884.36K","-3.54%"
"06/25/2022","1,241.80","1,226.08","1,255.68","1,181.23","861.79K","1.36%"
"06/24/2022","1,225.11","1,145.78","1,244.94","1,132.95","1.34M","7.06%"
"06/23/2022","1,144.31","1,049.17","1,153.00","1,046.74","1.28M","9.08%"
"06/22/2022","1,049.07","1,127.17","1,127.17","1,045.72","1.31M","-6.84%"
"06/21/2022","1,126.06","1,128.00","1,192.85","1,110.85","1.31M","-0.20%"
"06/20/2022","1,128.29","1,129.35","1,165.53","1,056.99","1.72M","-0.01%"
"06/19/2022","1,128.45","994.81","1,151.94","938.34","2.02M","13.35%"
"06/18/2022","995.58","1,085.65","1,097.02","883.62","2.31M","-8.37%"
"06/17/2022","1,086.58","1,069.98","1,116.54","1,052.31","1.22M","1.69%"
"06/16/2022","1,068.54","1,239.65","1,254.25","1,052.60","1.45M","-13.68%"
"06/15/2022","1,237.95","1,208.73","1,244.65","1,016.99","3.12M","2.23%"
"06/14/2022","1,210.94","1,207.01","1,261.07","1,078.41","2.72M","0.38%"
"06/13/2022","1,206.34","1,434.13","1,453.99","1,168.65","3.63M","-15.95%"
"06/12/2022","1,435.29","1,533.29","1,541.83","1,430.97","1.56M","-6.28%"
"06/11/2022","1,531.39","1,664.09","1,681.47","1,503.11","1.22M","-7.92%"
"06/10/2022","1,663.02","1,787.36","1,803.72","1,657.30","955.13K","-6.99%"
"06/09/2022","1,788.00","1,792.10","1,832.69","1,778.03","535.62K","-0.28%"
"06/08/2022","1,792.96","1,812.54","1,837.38","1,766.89","941.29K","-1.10%"
"06/07/2022","1,812.94","1,860.08","1,870.92","1,727.74","1.40M","-2.53%"
"06/06/2022","1,860.00","1,807.58","1,919.35","1,804.74","804.36K","2.98%"
"06/05/2022","1,806.14","1,806.15","1,829.09","1,773.48","371.98K","0.09%"
"06/04/2022","1,804.57","1,775.23","1,815.16","1,748.87","388.27K","1.65%"
"06/03/2022","1,775.22","1,833.97","1,843.18","1,741.14","741.38K","-3.24%"
"06/02/2022","1,834.65","1,818.21","1,850.98","1,784.03","789.00K","0.94%"
"06/01/2022","1,817.65","1,942.49","1,971.05","1,772.02","1.04M","-6.39%"
"05/31/2022","1,941.78","1,999.39","2,015.00","1,929.13","751.05K","-2.83%"
"05/30/2022","1,998.30","1,811.64","2,009.74","1,804.34","814.80K","10.19%"
"05/29/2022","1,813.52","1,792.79","1,824.72","1,764.68","432.42K","1.19%"
"05/28/2022","1,792.22","1,727.44","1,807.66","1,722.84","558.27K","3.94%"
"05/27/2022","1,724.33","1,795.41","1,820.74","1,707.56","1.30M","-3.86%"
"05/26/2022","1,793.48","1,943.03","1,964.97","1,744.99","1.17M","-7.69%"
"05/25/2022","1,942.91","1,978.31","2,020.48","1,937.64","524.69K","-1.84%"
"05/24/2022","1,979.40","1,975.01","1,992.64","1,914.53","534.11K","0.33%"
"05/23/2022","1,972.98","2,041.27","2,086.17","1,959.59","636.08K","-3.44%"
"05/22/2022","2,043.28","1,974.80","2,055.04","1,966.33","355.73K","3.45%"
